baseMean	log2FoldChange	lfcSE	pvalue	padj
Sirpb1a	13.5157213866009	0.00181296583673993	0.0740107883104507	0.474228747569997	0.999958094925527
Sirpb1b	1.78832533175886	0.000374931975555574	0.0740239890124681	0.563255725421967	NA
B930018H19Rik	0.894162665879431	0.000339687122815762	0.0740235351955916	0.646335679504403	NA
Nfic	1410.17509554172	0.0218528026596056	0.0732046950262974	0.392433776673745	0.999958094925527
Cnr1	0.540022051470079	-0.000385144364989543	0.0740240173466055	0.681449811079217	NA
Nfia	131.893827144681	0.00360840616308726	0.0736523644579851	0.673868908499914	0.999958094925527
Mir875	0.670621999409574	0.000360487810306437	0.0740235569289984	0.682193512371276	NA
Cxcr3	9394.6786890781	-0.0698432963798459	0.0817366709758797	0.113530047781805	0.868682464299429
Cxcr2	2.48178504102021	0.000664373317405389	0.0740264045216353	0.384475524790027	NA
Ttyh1	0.223540666469858	0.000308420265737918	0.0740225407684862	0.822931636861443	NA
Ttyh2	53.5844935320422	-0.00376045389350393	0.0739634299924621	0.479753112769029	0.999958094925527
Cxcr4	114.274442206574	-0.00534690819016584	0.0738433477443293	0.512637933740411	0.999958094925527
Fbxl20	1180.35978828927	-0.0112872166919303	0.0716673010529024	0.597121825856144	0.999958094925527
Fbxl21	9.48107001621336	-0.0030254929806416	0.0741098922886129	0.0335996165005921	0.546704155733806
Fbxl22	123.105351537655	-0.00317367930953532	0.0736059242437644	0.711262248023969	0.999958094925527
D19Bwg1357e	3848.57705092028	-0.0568065558734373	0.0865306787698518	0.13495002534698	0.909481577697754
5930412G12Rik	0.259296772902657	-0.000380429865776114	0.074023278816576	0.768171993426705	NA
Dlc1	7.56185049368487	-0.00139699082680422	0.0740239234836115	0.37651757623835	NA
Pkig	91.0393092639232	0.00153915413686886	0.0736560364532762	0.842450064731211	0.999958094925527
Pkia	6.40583778436231	0.00085621390789293	0.0740297228152651	0.279537249126787	NA
Pkib	15.3674715215537	0.00243790658461859	0.0740553910706541	0.105368815932757	0.850269573875681
1810026J23Rik	1959.53706498852	-0.02921873423067	0.0743062777178364	0.317472380657619	0.999958094925527
Trnt1	1902.65661070506	0.00808504312772977	0.068323920641553	0.768657310942727	0.999958094925527
Lnpep	2273.31271844435	-0.0117752056407019	0.0700315803481443	0.639877252966242	0.999958094925527
Gss	667.504114244507	0.0157428038045333	0.0739114967689969	0.395163500413727	0.999958094925527
Gsr	2744.3011807156	-0.00771848392927883	0.0661463310185239	0.797985253918112	0.999958094925527
Izumo4	777.398993450231	0.044382333276802	0.0901774624315167	0.0551610224294755	0.688096625224303
Gsn	415.725126056028	0.0107618392141879	0.0734507024429516	0.48836932288668	0.999958094925527
Wnt3	4.36629764423398	0.00128349015761293	0.0740379573224621	0.171030601313988	NA
Wnt4	4.92162291097002	0.0008400248400386	0.0740109019674383	0.624045676868532	NA
Fam219aos	3.42192414737549	2.9164174222616e-05	0.0740064818954517	0.988963579355756	NA
Grhl1	32.0899813890557	-0.00505686945127112	0.0742326927916842	0.0242678020201216	0.482075094339207
Grhl2	16.5440397996598	-0.00262667859989871	0.0740363757857631	0.376878159246923	0.999958094925527
Sod1	1027.33757508443	-0.0047618912658486	0.0706071797893097	0.824806615070863	0.999958094925527
